index    keith number                                   prime factorization
  107    193962639439026709638083447831059              7 * 19 * 44819 * 326663 * 99610320126347771659
  108    303294117104027490007126494842828              2 * 2 * 59 * 223 * 82225789 * 70087258239915955459
  109    312736110821858321305917486145434              2 * 3 * 3 * 17374228378992128961439860341413
  110    359253598248137147666007355623218              2 * 47 * 11433240059513 * 334275041019001519
  111    381933008901296879565658130750756              2 * 2 * 59951 * 1592688232478594517045829639
  112    1876178467884883559985053635963437             3 * 3 * 7 * 37246243 * 504178421993 * 1585867397801
  113    2787674840304510129398176411111966             2 * 1393837420152255064699088205555983
  114    5752090994058710841670361653731519             3 * 7 * 1670137572394253 * 164003911703219663
  115    23137274755282109912063039769168142            2 * 409 * 1181 * 96857 * 64751273183 * 3818824296829
  116    25314398891465125143523864790391288            2 * 2 * 2 * 3 * 37 * 59 * 67 * 419 * 17211305608716936479392843
  117    44715370344837755402179510861188022            2 * 7 * 7 * 28789 * 597613 * 2431664177 * 10906377947851
  118    47933465320021485928519060435917729            3 * 3 * 3 * 31 * 8822867 * 6490880843955811150877951
  119    196866601633638871239614307772203156           2 * 2 * 3 * 71 * 641 * 387831553411 * 929461232918042203
  120    214860400509971669129437189647933258           2 * 3 * 37 * 5825399 * 58277623 * 2850860061737422907
  121    394684240118372710589383926683340073           7 * 269062185015709 * 209555508035294282971
  122    763701584467955209221750616718219223           3 * 3 * 3 * 19 * 222113 * 6702430950671511269032155767
  123    880430656963418264331749765271577784           2 * 2 * 2 * 79 * 89 * 109 * 54273429029 * 2645905396995166753
  124    1420874703435481164259150807251554224          2 * 2 * 2 * 2 * 19 * 59 * 227 * 161561 * 4587901 * 470818760210728997
  125    1657491794716110853448325485925058204          2 * 2 * 2138249672423 * 193790722394673767446337
  126    3269348779667401201021223599978970201          11 * 347 * 1097 * 5419 * 18313 * 27673 * 28657 * 49363 * 200985769
  127    7921264696903885127987898365055639911          1409 * 22727 * 156238447 * 1583264621392604175791
  128    12069039129052905731090802713847809250         2 * 3 * 5 * 5 * 5 * 5189 * 158003 * 19627384404421131057471337
  129    13574653803355561194057788163007729084         2 * 2 * 13 * 1543 * 169184079507397691735103795839869
  130    13882149110607495895746221945240755844         2 * 2 * 1999 * 5501 * 315603836971373704843382924539
  131    14937801989691410782008988303847648820         2 * 2 * 3 * 5 * 89 * 5820797033 * 480577003580847111127331
  132    15758429248456674552407892667585855126         2 * 41 * 2157833189257 * 89059695346870137698299
  133    17259553559988812751998513963349199288         2 * 2 * 2 * 83 * 307 * 1951 * 43397612106044372475515002081
  134    24850329784995821754021103316821467213         3 * 3 * 19 * 1021 * 142334540640673469732237648657843
  135    27740741911824887860753389621407283603         3 * 3 * 3 * 3 * 554303 * 617853944878008354541780779421
  136    54288380752677236674013393871383444205         3 * 5 * 2017 * 540691 * 16928428986773 * 196039657141037
  137    104204025234884482814094550183991383772        2 * 2 * 198658626370223 * 131134533570025296971641
  138    215697830679154524503635806813270373461        3 * 673 * 32824138630108933 * 3254738642666763643
  139    1004566042648580249092683926888439949414       2 * 43 * 107 * 109168228933773119875318835784442507
  140    1816340802304828405869941580057044476938       2 * 3 * 13 * 13 * 13 * 113 * 54062191 * 220931717807 * 102090628244939
  141    3667665486047337607150308556285662810291       3 * 61 * 11321 * 18752333 * 21847823 * 4321060660110768943
  142    7322328822325833732474753985294810666035       3 * 5 * 7 * 73 * 353 * 6763 * 7517 * 161879 * 305633 * 1075939045611019
  143    8065458946484467940332456027867108839048       2 * 2 * 2 * 3 * 7639 * 13933 * 87033017 * 36278778624570058662713
  144    8425728713644186076789822654950556667780       2 * 2 * 3 * 5 * 13 * 21760331 * 335445353069 * 1479876902936335909
  145    15424828410226613515507443774158669599960      2 * 2 * 2 * 5 * 11 * 13 * 37 * 37 * 79 * 199 * 239 * 179484038689 * 2920901842299967
  146    30081830087987579923672365111897261127043      5179 * 1341417991 * 4330063009603196130940713887
  147    246886024248854821622701598693112655546442     2 * 479 * 257709837420516515263780374418697970299
  148    262352999160589366533639168718163151078418     2 * 157 * 28499 * 75822353 * 16287072150941 * 23740315476331
  149    275098759996873662461317925206088540716562     2 * 43 * 1049 * 64973727023 * 5216167854109 * 8997572515969
  150    595772628889363625726896288920522288914169     3 * 3 * 823 * 120323327149 * 23061887105083 * 28986349744201
  151    909174340023749619572306357633062920562913     12905737413803383 * 70447298815435263134007911
  152    2112877907698905120555962354671456805629810    2 * 5 * 13 * 73 * 419 * 7951 * 36966021119 * 1807880439883415701579
  153    4290808821126219499179742927817326615662906    2 * 3 * 1307 * 1695030994662126971 * 322800859836032031383
